
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,"155050050","&&&&",19,
,,"@@@@",0,
,,"0100",14,
,,"0110",0,
,,"0111",0,
,,"0112",3,
,,"0113",0,
,,"0114",0,
,,"0115",0,
,,"0120",0,
,,"0121",0,
,,"0122",0,
,,"0123",0,
,,"0130",0,
,,"0131",0,
,,"0132",0,
,,"0133",0,
,,"0134",0,
,,"0135",0,
,,"0136",0,
,,"0137",0,
,,"0139",0,
,,"0140",0,
,,"0141",12,
,,"0142",41,
,,"0143",0,
,,"0144",10,
,,"0145",9,
,,"0146",0,
,,"0149",12,
,,"0150",0,
,,"0151",0,
,,"0152",0,
,,"0159",0,
,,"0160",16,
,,"0170",0,
,,"0171",0,
,,"0172",0,
,,"0180",0,
,,"0190",0,
,,"0191",4,
,,"0192",0,
,,"0193",0,
,,"0199",0,
,,"0200",5,
,,"0201",0,
,,"0202",0,
,,"0203",5,
,,"0300",0,
,,"0301",15,
,,"0302",3,
,,"0400",3,
,,"0410",0,
,,"0411",0,
,,"0412",0,
,,"0413",0,
,,"0414",0,
,,"0419",0,
,,"0420",5,
,,"0500",0,
,,"0510",7,
,,"0520",0,
,,"0521",0,
,,"0522",0,
,,"0529",28,
,,"A000",0,
,,"0600",5,
,,"0700",0,
,,"0800",0,
,,"0801",0,
,,"0802",0,
,,"0803",0,
,,"0804",0,
,,"0805",3,
,,"0806",0,
,,"0807",0,
,,"0809",0,
,,"0900",0,
,,"0910",0,
,,"0911",3,
,,"0919",0,
,,"0990",0,
,,"1000",0,
,,"1010",0,
,,"1011",0,
,,"1012",0,
,,"1090",0,
,,"B000",0,
,,"1100",5,
,,"1110",0,
,,"1111",5,
,,"1112",0,
,,"1113",3,
,,"1120",0,
,,"1130",0,
,,"1131",8,
,,"1132",3,
,,"1133",10,
,,"1140",5,
,,"1150",0,
,,"1160",3,
,,"1161",18,
,,"1162",10,
,,"1170",0,
,,"1171",10,
,,"1172",6,
,,"1173",3,
,,"1174",51,
,,"1180",0,
,,"1181",0,
,,"1182",7,
,,"1190",0,
,,"1191",0,
,,"1192",4,
,,"1199",3,
,,"1200",0,
,,"1210",0,
,,"1211",5,
,,"1212",0,
,,"1213",0,
,,"1214",0,
,,"1220",0,
,,"1300",11,
,,"1310",0,
,,"1311",0,
,,"1312",142,
,,"1313",53,
,,"1320",4,
,,"1330",0,
,,"1331",0,
,,"1332",0,
,,"1333",22,
,,"1334",3,
,,"1340",0,
,,"1350",3,
,,"1351",35,
,,"1352",3,
,,"1400",0,
,,"1410",3,
,,"1411",0,
,,"1412",0,
,,"1413",0,
,,"1490",0,
,,"1491",0,
,,"1492",51,
,,"1493",0,
,,"1494",0,
,,"1499",6,
,,"1500",10,
,,"1510",219,
,,"1520",0,
,,"1521",3,
,,"1522",0,
,,"1523",3,
,,"1524",57,
,,"1529",0,
,,"1600",0,
,,"1610",3,
,,"1611",80,
,,"1612",10,
,,"1620",0,
,,"1700",0,
,,"1701",5,
,,"1709",3,
,,"1800",0,
,,"1810",0,
,,"1811",0,
,,"1812",0,
,,"1813",3,
,,"1820",0,
,,"1821",0,
,,"1829",0,
,,"1830",0,
,,"1831",3,
,,"1832",0,
,,"1840",0,
,,"1841",3,
,,"1842",3,
,,"1850",0,
,,"1851",0,
,,"1852",3,
,,"1890",0,
,,"1891",0,
,,"1892",0,
,,"1899",0,
,,"1900",0,
,,"1910",5,
,,"1911",3,
,,"1912",74,
,,"1913",3,
,,"1914",5,
,,"1915",0,
,,"1916",8,
,,"1919",0,
,,"1920",0,
,,"2000",3,
,,"2010",16,
,,"2020",0,
,,"2021",3,
,,"2029",0,
,,"2030",6,
,,"2031",0,
,,"2032",6,
,,"2033",3,
,,"2034",17,
,,"2090",0,
,,"2100",4,
,,"2110",137,
,,"2120",0,
,,"2121",31,
,,"2122",3,
,,"2130",16,
,,"2131",0,
,,"2132",0,
,,"2133",0,
,,"2139",0,
,,"2140",0,
,,"2141",0,
,,"2142",0,
,,"2149",7,
,,"2200",6,
,,"2210",18,
,,"2220",0,
,,"2221",25,
,,"2222",23,
,,"2223",21,
,,"2224",3,
,,"2229",7,
,,"2230",0,
,,"2231",3,
,,"2239",3,
,,"2240",76,
,,"2290",0,
,,"2291",13,
,,"2292",0,
,,"2293",22,
,,"2299",123,
,,"2300",207,
,,"2310",3,
,,"2311",44,
,,"2312",11,
,,"2313",8,
,,"2319",217,
,,"2390",0,
,,"2391",0,
,,"2392",50,
,,"2393",6,
,,"2394",13,
,,"2399",0,
,,"2400",45,
,,"2410",0,
,,"2411",0,
,,"2412",6,
,,"2419",0,
,,"2420",0,
,,"2421",4,
,,"2422",3,
,,"2429",15,
,,"2430",0,
,,"2431",3,
,,"2432",4,
,,"2439",23,
,,"2440",0,
,,"2441",0,
,,"2449",46,
,,"2450",0,
,,"2451",5,
,,"2452",38,
,,"2460",0,
,,"2461",0,
,,"2462",0,
,,"2463",3,
,,"2469",3,
,,"2490",0,
,,"2491",0,
,,"2499",34,
,,"2500",0,
,,"2510",0,
,,"2511",22,
,,"2512",0,
,,"2513",0,
,,"2519",9,
,,"2590",0,
,,"2591",4,
,,"2592",7,
,,"2599",12,
,,"C000",255,
,,"2600",13,
,,"2610",0,
,,"2611",4,
,,"2612",0,
,,"2619",0,
,,"2620",3,
,,"2630",55,
,,"2640",3,
,,"2700",9,
,,"2810",0,
,,"2811",38,
,,"2812",3,
,,"2900",3,
,,"2910",6,
,,"2911",6,
,,"2919",0,
,,"2920",0,
,,"2921",3,
,,"2922",3,
,,"D000",0,
,,"3000",60,
,,"3010",0,
,,"3011",294,
,,"3019",5,
,,"3020",180,
,,"3100",8,
,,"3101",122,
,,"3109",23,
,,"3200",17,
,,"3210",0,
,,"3211",18,
,,"3212",81,
,,"3220",0,
,,"3221",51,
,,"3222",26,
,,"3223",13,
,,"3224",11,
,,"3230",0,
,,"3231",91,
,,"3232",221,
,,"3233",16,
,,"3234",27,
,,"3239",7,
,,"3240",0,
,,"3241",33,
,,"3242",32,
,,"3243",27,
,,"3244",47,
,,"3245",31,
,,"3290",0,
,,"3291",52,
,,"3292",0,
,,"3299",24,
,,"E000",39,
,,"3300",0,
,,"3310",0,
,,"3311",7,
,,"3312",0,
,,"3319",43,
,,"3320",0,
,,"3321",10,
,,"3322",64,
,,"3323",15,
,,"3330",0,
,,"3331",5,
,,"3332",30,
,,"3339",43,
,,"3400",12,
,,"3410",0,
,,"3411",55,
,,"3419",36,
,,"3490",11,
,,"3491",11,
,,"3492",15,
,,"3493",3,
,,"3494",41,
,,"3499",24,
,,"3500",3,
,,"3501",8,
,,"3502",27,
,,"3503",0,
,,"3504",52,
,,"3505",9,
,,"3600",3,
,,"3601",31,
,,"3602",38,
,,"3603",4,
,,"3604",4,
,,"3605",15,
,,"3606",0,
,,"3609",55,
,,"3700",0,
,,"3710",0,
,,"3711",4,
,,"3712",4,
,,"3720",16,
,,"3730",0,
,,"3731",6,
,,"3732",4,
,,"3733",9,
,,"3734",6,
,,"3735",30,
,,"3736",34,
,,"3739",12,
,,"3800",30,
,,"F000",59,
,,"3900",0,
,,"3910",3,
,,"3911",117,
,,"3912",5,
,,"3913",6,
,,"3920",3,
,,"3921",53,
,,"3922",20,
,,"4000",104,
,,"4100",21,
,,"4110",605,
,,"4120",3,
,,"4121",56,
,,"4122",8,
,,"4123",37,
,,"4129",130,
,,"4200",14,
