
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P) by Sex Male/Female (SEXP)"
"Counting: Persons, Place of Work"

,,"Sex Male/Female (SEXP)","Male","Female",
,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,"705051004","&&&&",3,0,
,,"@@@@",0,0,
,,"0100",0,0,
,,"0110",0,0,
,,"0111",0,0,
,,"0112",0,0,
,,"0113",0,0,
,,"0114",0,0,
,,"0115",0,0,
,,"0120",0,0,
,,"0121",0,0,
,,"0122",0,0,
,,"0123",0,0,
,,"0130",0,0,
,,"0131",0,0,
,,"0132",0,0,
,,"0133",0,0,
,,"0134",0,0,
,,"0135",0,0,
,,"0136",0,0,
,,"0137",0,0,
,,"0139",0,0,
,,"0140",0,0,
,,"0141",0,0,
,,"0142",0,0,
,,"0143",0,0,
,,"0144",0,0,
,,"0145",0,0,
,,"0146",0,0,
,,"0149",0,0,
,,"0150",0,0,
,,"0151",0,0,
,,"0152",0,0,
,,"0159",0,0,
,,"0160",0,0,
,,"0170",0,0,
,,"0171",0,0,
,,"0172",0,0,
,,"0180",0,0,
,,"0190",0,0,
,,"0191",0,0,
,,"0192",0,0,
,,"0193",0,0,
,,"0199",0,0,
,,"0200",0,0,
,,"0201",3,0,
,,"0202",0,0,
,,"0203",0,0,
,,"0300",0,0,
,,"0301",0,0,
,,"0302",0,0,
,,"0400",0,0,
,,"0410",0,0,
,,"0411",0,0,
,,"0412",0,0,
,,"0413",0,0,
,,"0414",0,0,
,,"0419",0,0,
,,"0420",0,0,
,,"0500",0,0,
,,"0510",0,0,
,,"0520",0,0,
,,"0521",0,0,
,,"0522",0,0,
,,"0529",0,0,
,,"A000",0,0,
,,"0600",0,0,
,,"0700",0,0,
,,"0800",0,0,
,,"0801",0,0,
,,"0802",0,0,
,,"0803",0,0,
,,"0804",0,0,
,,"0805",0,0,
,,"0806",0,0,
,,"0807",0,0,
,,"0809",0,0,
,,"0900",0,0,
,,"0910",0,0,
,,"0911",0,0,
,,"0919",0,0,
,,"0990",0,0,
,,"1000",0,0,
,,"1010",0,0,
,,"1011",0,0,
,,"1012",0,0,
,,"1090",0,0,
,,"B000",0,0,
,,"1100",0,0,
,,"1110",0,0,
,,"1111",0,0,
,,"1112",0,0,
,,"1113",0,0,
,,"1120",0,0,
,,"1130",0,0,
,,"1131",0,0,
,,"1132",0,0,
,,"1133",0,0,
,,"1140",0,0,
,,"1150",0,0,
,,"1160",0,0,
,,"1161",0,0,
,,"1162",0,0,
,,"1170",0,0,
,,"1171",0,0,
,,"1172",0,0,
,,"1173",0,0,
,,"1174",3,3,
,,"1180",0,0,
,,"1181",0,0,
,,"1182",0,0,
,,"1190",0,0,
,,"1191",0,0,
,,"1192",0,0,
,,"1199",0,0,
,,"1200",0,0,
,,"1210",0,0,
,,"1211",0,0,
,,"1212",0,0,
,,"1213",0,0,
,,"1214",0,0,
,,"1220",0,0,
,,"1300",0,0,
,,"1310",0,0,
,,"1311",0,0,
,,"1312",0,0,
,,"1313",0,0,
,,"1320",3,0,
,,"1330",0,0,
,,"1331",0,0,
,,"1332",0,0,
,,"1333",0,0,
,,"1334",0,0,
,,"1340",0,0,
,,"1350",0,0,
,,"1351",0,0,
,,"1352",0,0,
,,"1400",0,0,
,,"1410",0,0,
,,"1411",0,0,
,,"1412",0,0,
,,"1413",0,0,
,,"1490",0,0,
,,"1491",0,0,
,,"1492",0,0,
,,"1493",0,0,
,,"1494",0,0,
,,"1499",0,0,
,,"1500",0,0,
,,"1510",0,0,
,,"1520",0,0,
,,"1521",0,0,
,,"1522",0,0,
,,"1523",0,0,
,,"1524",0,0,
,,"1529",0,0,
,,"1600",0,0,
,,"1610",0,0,
,,"1611",0,0,
,,"1612",0,0,
,,"1620",0,0,
,,"1700",0,0,
,,"1701",0,0,
,,"1709",0,0,
,,"1800",0,0,
,,"1810",0,0,
,,"1811",0,0,
,,"1812",0,0,
,,"1813",0,0,
,,"1820",0,0,
,,"1821",0,0,
,,"1829",0,0,
,,"1830",0,0,
,,"1831",0,0,
,,"1832",0,0,
,,"1840",0,0,
,,"1841",0,0,
,,"1842",0,0,
,,"1850",0,0,
,,"1851",0,0,
,,"1852",0,0,
,,"1890",0,0,
,,"1891",0,0,
,,"1892",0,0,
,,"1899",0,0,
,,"1900",0,0,
,,"1910",0,0,
,,"1911",0,0,
,,"1912",0,0,
,,"1913",0,0,
,,"1914",0,0,
,,"1915",0,0,
,,"1916",0,0,
,,"1919",0,0,
,,"1920",0,0,
,,"2000",0,0,
,,"2010",0,0,
,,"2020",0,0,
,,"2021",0,0,
,,"2029",0,0,
,,"2030",0,0,
,,"2031",0,0,
,,"2032",0,0,
,,"2033",0,0,
,,"2034",0,0,
,,"2090",0,0,
,,"2100",0,0,
,,"2110",0,0,
,,"2120",0,0,
,,"2121",0,0,
,,"2122",0,0,
,,"2130",0,0,
,,"2131",0,0,
,,"2132",0,0,
,,"2133",0,0,
,,"2139",0,0,
,,"2140",0,0,
,,"2141",0,0,
,,"2142",0,0,
,,"2149",0,0,
,,"2200",0,0,
,,"2210",0,0,
,,"2220",0,0,
,,"2221",0,0,
,,"2222",0,0,
,,"2223",0,0,
,,"2224",0,0,
,,"2229",0,0,
,,"2230",0,0,
,,"2231",0,0,
,,"2239",0,0,
,,"2240",0,0,
,,"2290",0,0,
,,"2291",0,0,
,,"2292",0,0,
,,"2293",0,0,
,,"2299",0,0,
,,"2300",0,0,
,,"2310",0,0,
,,"2311",0,0,
,,"2312",0,0,
,,"2313",0,0,
,,"2319",0,0,
,,"2390",0,0,
,,"2391",0,0,
,,"2392",0,0,
,,"2393",0,0,
,,"2394",0,0,
,,"2399",0,0,
,,"2400",0,0,
,,"2410",0,0,
,,"2411",0,0,
,,"2412",0,0,
,,"2419",0,0,
,,"2420",0,0,
,,"2421",0,0,
,,"2422",0,0,
,,"2429",0,0,
,,"2430",0,0,
,,"2431",0,0,
,,"2432",0,0,
,,"2439",0,0,
,,"2440",0,0,
,,"2441",0,0,
,,"2449",0,0,
,,"2450",0,0,
,,"2451",0,0,
,,"2452",0,0,
,,"2460",0,0,
,,"2461",0,0,
,,"2462",0,0,
,,"2463",0,0,
,,"2469",0,0,
,,"2490",0,0,
,,"2491",0,0,
,,"2499",0,0,
,,"2500",0,0,
,,"2510",0,0,
,,"2511",0,0,
,,"2512",0,0,
,,"2513",0,0,
,,"2519",0,0,
,,"2590",0,0,
,,"2591",0,0,
,,"2592",0,0,
,,"2599",0,0,
